player_id,player_name,club_id,birth_date,nationality,market_value,num_appearances
10,Miroslav Klose,398,1978-06-09,Germany,1000000.0,36
26,Roman Weidenfeller,16,1980-08-06,Germany,750000.0,0
65,Dimitar Berbatov,1091,1981-01-30,Bulgaria,1000000.0,54
77,Lúcio,506,1978-05-08,Brazil,200000.0,62
80,Tom Starke,27,1981-03-18,Germany,100000.0,53
109,Dedê,825,1978-04-18,Brazil,400000.0,12
123,Christoph Metzelder,33,1980-11-05,Germany,1500000.0,74
132,Tomas Rosicky,11,1980-10-04,Czech Republic,350000.0,49
162,Marc Ziegler,79,1976-06-13,Germany,200000.0,43
215,Roque Santa Cruz,1084,1981-08-16,Paraguay,250000.0,16
258,Gerald Asamoah,33,1978-10-03,Germany,100000.0,12
264,Tamás Hajnal,79,1981-03-15,Hungary,100000.0,28
276,Sladan Peric,20100,1982-04-15,Denmark,200000.0,19
277,Sérgio da Silva Pinto,3368,1980-10-16,Germany,150000.0,23
299,Fabian Ernst,10484,1984-11-12,Germany,1500000.0,71
325,Tomas Ujfalusi,141,1978-03-24,Czech Republic,300000.0,34
332,Benjamin Köhler,24,1980-08-04,Germany,150000.0,2
410,Sebastian Kehl,16,1980-02-13,Germany,1000000.0,13
411,Levan Kobiashvili,44,1977-07-10,Georgia,400000.0,42
447,Oka Nikolov,24,1974-05-25,North Macedonia,350000.0,32
488,Gerhard Tremmel,2288,1978-11-16,Germany,250000.0,49
532,Claudio Pizarro,86,1978-10-03,Peru,400000.0,46
557,Simon Jentzsch,167,1976-05-04,Germany,300000.0,72
568,Martin Stranzl,18,1980-06-16,Austria,1000000.0,39
597,Aleksandr Hleb,2696,1981-05-01,Belarus,150000.0,52
598,Timo Hildebrand,24,1979-04-05,Germany,750000.0,30
643,Christian Vander,86,1980-10-24,Germany,100000.0,7
670,Martin Petrov,714,1979-01-15,Bulgaria,400000.0,53
690,Ivan Klasnic,39,1980-01-29,Croatia,500000.0,0
691,Simon Rolfes,15,1982-01-21,Germany,2000000.0,56
735,Giuseppe Gemiti,1210,1981-05-03,Germany,75000.0,28
755,Deniz Baris,589,1977-07-02,Turkey,300000.0,36
773,David Jarolim,14171,1979-05-17,Czech Republic,250000.0,23
823,Hanno Balitsch,4,1981-01-02,Germany,200000.0,66
831,Selim Teber,1506,1981-03-07,Germany,175000.0,7
837,Thorben Marx,18,1983-10-17,Germany,300000.0,36
