player_id,position,goals,assists,passing_accuracy,key_passes_per_game,interceptions_per_game
10,F,34,18,40.15,1.53,3.74
65,F,44,19,21.39,4.85,4.3
77,D,3,28,16.29,2.58,6.0
109,D,48,30,84.43,3.83,4.07
123,D,58,19,13.52,4.24,2.92
132,M,17,16,69.95,0.53,9.2
215,F,13,2,69.5,4.17,3.3
258,F,0,27,47.68,2.44,6.45
264,M,51,6,29.65,1.1,9.23
276,D,2,21,90.46,1.15,4.98
277,M,30,22,84.89,3.82,6.01
299,M,28,13,95.85,5.63,7.74
325,D,35,11,2.86,3.88,2.98
332,M,37,5,16.61,0.02,4.81
410,M,29,30,1.21,6.69,0.66
411,M,24,15,19.26,0.54,1.21
532,F,15,22,89.93,2.59,4.62
568,D,39,1,8.0,5.26,5.13
597,M,60,25,40.91,6.91,8.74
670,F,6,21,84.17,0.1,5.53
690,F,29,13,37.84,5.35,9.27
691,M,4,24,82.02,2.35,1.44
735,D,52,15,69.98,1.17,2.7
755,D,54,1,3.17,1.72,6.53
773,M,55,22,13.18,0.27,0.43
823,M,32,15,94.56,3.36,4.21
831,M,51,22,38.64,0.1,0.18
837,M,39,24,74.69,5.51,7.37
886,D,26,4,18.98,1.34,5.0
933,M,48,21,54.46,5.98,2.51
992,D,3,13,53.21,1.94,8.03
1073,D,59,10,9.16,0.85,2.43
1075,F,9,24,92.55,2.46,6.87
1083,M,35,30,12.49,1.61,7.05
1094,D,8,21,84.42,1.0,5.69
1095,M,0,4,64.27,2.65,2.23
1116,D,11,20,82.84,6.37,4.65
1126,M,48,20,0.99,5.4,7.44
1139,D,46,24,88.42,6.41,8.37
1161,D,4,4,46.48,4.42,4.07
1197,F,46,17,7.28,2.02,8.2
1277,D,19,15,66.29,5.84,8.41
1321,M,5,20,94.37,6.18,2.11
1323,D,13,27,46.02,0.75,9.66
1327,M,13,24,58.79,1.01,1.28
1331,F,56,29,8.98,1.94,9.07
1335,D,49,21,44.59,2.07,5.87
1368,D,59,15,78.54,3.02,8.36
1381,D,46,18,96.7,0.4,9.94
1397,F,7,9,93.03,4.48,9.76
1423,D,12,12,57.94,5.59,4.09
1426,F,3,20,99.59,0.61,3.93
1428,F,49,2,98.03,3.98,1.28
1443,M,56,5,61.75,3.08,7.93
1496,D,11,25,20.62,0.2,7.51
1532,M,56,2,92.02,6.69,0.76
1560,D,45,26,21.81,3.59,9.29
1565,F,18,5,53.16,6.76,6.18
1568,F,17,7,59.24,1.84,2.89
1572,D,53,17,84.13,3.3,1.93
1573,M,11,15,18.87,1.18,0.74
1586,D,8,13,2.62,1.36,0.09
1587,D,18,28,96.13,3.81,0.58
1606,D,30,0,62.37,0.58,1.45
1613,D,12,5,27.3,5.79,7.36
1659,F,48,26,17.1,3.04,1.23
1662,D,43,3,78.29,0.77,6.74
1684,M,27,16,54.74,2.23,0.89
1716,F,0,14,53.26,2.5,5.06
1726,D,10,26,50.61,6.14,3.4
1772,D,31,23,47.92,0.69,7.72
1791,M,8,23,12.81,3.89,6.52
1792,M,21,21,19.86,2.18,0.13
1841,M,22,22,18.69,3.64,5.2
1896,D,10,8,74.97,0.72,4.37
1944,D,59,20,53.4,2.32,0.63
1986,M,40,4,24.5,2.45,5.28
2048,D,37,26,22.45,6.24,2.74
2050,F,36,4,59.55,2.71,5.47
2138,M,48,17,41.7,4.48,6.26
2148,F,6,27,16.99,3.67,5.95
2150,M,6,24,35.98,1.5,2.62
2219,D,59,13,69.69,3.62,9.74
2233,D,11,5,41.44,3.65,1.94
2309,M,22,27,68.85,4.47,2.64
2334,M,49,9,18.71,6.69,9.79
2358,D,43,15,19.22,3.71,3.59
2374,D,15,3,10.64,3.85,4.82
2453,F,28,29,15.89,6.27,8.32
2514,M,48,17,19.1,3.12,1.68
2587,D,1,9,84.94,1.76,3.49
2623,M,33,22,86.74,2.77,6.24
2703,F,5,29,21.43,1.89,4.58
2712,F,46,10,43.64,5.02,6.9
2767,D,15,11,21.48,5.22,9.43
2805,D,2,14,70.28,6.02,7.29
2865,D,54,3,38.59,0.22,9.79
2874,F,49,3,43.16,2.49,0.75
2878,D,1,7,32.9,3.12,3.76
2899,F,25,8,96.98,5.51,0.88
2904,D,58,4,81.83,0.98,9.6
2923,M,53,22,30.25,2.24,1.81
2926,D,12,2,43.49,5.54,6.53
2953,M,60,19,31.01,4.21,8.09
2956,F,1,21,99.2,2.37,9.7
2963,D,26,12,90.11,6.56,6.42
2998,D,12,1,91.55,6.94,5.43
2999,F,11,15,45.26,0.3,1.95
3059,D,49,6,34.72,3.72,7.92
3098,D,27,15,99.2,2.23,8.92
3109,M,45,8,29.71,1.66,8.57
3114,F,58,0,31.51,5.74,0.63
3115,F,51,30,83.15,3.91,2.2
3118,M,48,22,67.64,3.47,2.2
3130,D,9,4,29.05,1.81,7.36
3131,F,27,29,86.03,2.31,2.01
3132,M,60,26,44.38,0.39,2.97
3139,M,18,27,43.93,2.68,5.5
3156,D,12,13,23.7,6.37,0.25
3159,D,54,23,44.9,3.24,4.34
3160,D,30,30,75.99,1.11,2.7
3163,M,56,2,79.94,3.44,3.39
3165,D,5,25,84.34,5.03,2.33
3170,M,18,9,64.29,0.84,1.66
3172,M,55,13,68.87,1.4,6.36
3176,F,48,1,69.67,0.24,1.87
3179,F,39,0,82.51,4.23,7.52
3182,D,3,0,63.03,4.56,2.59
3195,F,35,21,90.39,3.75,4.41
3201,D,16,0,65.58,2.3,4.28
3202,D,15,1,22.08,2.42,1.56
3205,M,16,26,74.6,4.25,3.93
3216,F,48,12,89.78,6.13,6.79
3220,D,52,30,31.94,2.39,3.56
3226,F,34,26,77.68,3.18,0.5
3233,D,31,27,18.21,4.61,5.86
3235,D,36,24,12.84,2.29,7.12
3251,M,28,1,42.47,3.06,4.48
3256,D,29,17,95.4,6.53,4.4
3259,M,34,2,59.6,4.32,2.36
3266,F,58,6,68.77,3.6,3.29
3269,F,56,9,68.11,6.02,9.07
3270,D,26,24,75.38,1.05,5.25
3271,D,32,11,70.87,5.36,2.88
3273,D,56,9,44.63,1.06,2.97
3276,F,43,30,68.5,1.1,1.18
3291,M,44,6,43.93,1.81,9.89
3292,M,56,26,48.03,5.71,4.44
3296,D,3,21,55.29,2.32,1.02
3297,F,37,28,18.35,5.78,9.52
3306,F,50,3,1.25,0.49,2.91
3321,D,58,14,85.52,5.14,4.98
3332,F,14,3,77.07,6.69,8.52
3333,M,12,29,8.3,3.14,2.4
3354,M,34,7,16.75,4.75,2.92
3356,D,14,10,34.85,0.07,3.92
3366,M,21,13,95.62,0.16,0.55
3391,M,4,1,82.05,3.67,8.52
3397,M,60,9,42.72,1.04,9.84
3404,D,19,8,28.93,0.36,0.01
3405,D,19,21,44.27,0.74,2.69
3406,M,54,14,79.77,3.44,4.76
3411,M,33,28,62.64,1.17,8.67
3413,F,28,17,40.86,5.47,0.18
3417,D,1,9,83.34,4.09,2.03
3428,M,25,17,74.65,3.48,1.53
3441,M,54,13,59.79,4.84,9.32
3447,D,5,16,38.66,3.97,8.47
3455,F,37,22,93.29,0.21,5.16
3458,F,11,18,86.94,0.89,4.96
3461,M,11,1,67.44,6.76,6.43
3467,F,54,30,27.71,2.06,6.37
3480,M,34,6,74.17,3.95,1.15
3515,M,57,20,73.1,5.24,2.07
3525,D,25,4,41.17,0.22,6.39
3530,M,58,2,51.6,3.41,7.28
3531,F,48,29,79.86,4.84,7.87
3540,D,46,16,60.35,3.3,6.95
3547,M,46,22,98.71,6.8,2.75
3548,D,10,3,65.71,6.1,0.26
3560,F,6,4,56.32,5.11,0.03
3569,M,37,4,36.66,6.24,2.47
3573,D,60,1,14.6,2.36,5.42
3580,D,30,0,63.77,6.28,6.26
3589,D,36,2,71.21,6.93,7.8
3597,D,27,30,20.52,5.77,4.4
3613,D,8,8,66.67,1.26,5.73
3614,D,42,6,22.81,6.41,1.99
3620,M,55,1,20.58,4.22,9.86
3634,D,30,23,38.04,6.78,8.23
3640,D,27,21,40.74,2.39,6.4
3666,F,2,16,93.87,5.31,3.26
3668,M,16,3,96.18,3.03,3.58
3682,D,47,24,46.47,1.27,5.11
3698,D,25,11,32.58,1.73,6.26
3707,D,45,17,26.45,6.68,6.07
3713,F,7,28,75.42,6.3,4.33
3730,M,60,24,79.22,2.45,0.38
3753,M,46,12,44.56,0.61,0.43
3762,M,14,15,66.74,0.03,8.46
3771,D,45,7,17.89,0.59,4.44
3775,D,59,17,22.2,1.87,4.17
3783,F,8,11,14.64,2.97,3.63
3785,M,3,27,14.52,6.97,9.19
3788,M,25,6,49.62,5.84,1.29
3791,D,35,6,32.03,4.37,8.41
3807,D,25,12,59.5,5.01,5.99
3816,D,37,29,4.75,6.84,0.45
3817,D,36,26,1.61,4.53,2.27
3824,D,7,19,86.7,3.93,2.09
3825,D,27,16,70.88,0.54,8.11
3851,D,47,5,92.77,1.37,0.54
3869,D,22,15,48.01,6.03,0.6
3875,F,49,30,40.56,3.86,2.92
3876,M,48,26,36.46,2.47,3.29
3878,M,52,15,18.44,2.27,4.09
